proyecto_id,empleado_id,metadata_extraccion
1,59,0
1,27,0
1,32,0
2,8,0
2,50,0
2,98,0
2,13,0
3,80,0
3,77,0
3,66,0
3,73,0
3,6,0
3,37,0
3,98,0
3,27,0
3,69,0
3,89,0
3,12,0
4,2,0
4,51,0
4,28,0
4,14,0
4,1,0
4,41,0
4,77,0
4,81,0
4,95,0
4,99,0
4,46,0
4,4,0
4,60,0
4,52,0
5,1,0
5,86,0
5,34,0
5,66,0
5,55,0
5,65,0
5,60,0
5,15,0
5,85,0
6,8,0
6,62,0
6,31,0
6,29,0
7,14,0
7,8,0
7,77,0
7,24,0
7,7,0
7,6,0
8,15,0
8,36,0
8,78,0
9,78,0
9,18,0
9,15,0
9,88,0
9,49,0
9,72,0
9,45,0
9,3,0
10,66,0
10,78,0
10,36,0
10,60,0
11,79,0
11,67,0
11,83,0
12,50,0
12,33,0
12,51,0
13,81,0
13,54,0
13,82,0
13,15,0
13,2,0
13,79,0
13,55,0
13,5,0
14,30,0
14,67,0
14,94,0
15,100,0
15,98,0
15,19,0
15,88,0
16,71,0
16,81,0
16,91,0
17,31,0
17,48,0
17,28,0
17,59,0
18,87,0
18,64,0
18,18,0
19,5,0
19,43,0
19,79,0
20,82,0
20,41,0
20,4,0
21,70,0
21,81,0
21,69,0
21,57,0
21,20,0
21,6,0
21,53,0
22,47,0
22,99,0
22,57,0
22,64,0
22,52,0
22,63,0
23,99,0
23,60,0
23,70,0
23,65,0
24,25,0
24,2,0
24,66,0
24,81,0
25,65,0
25,27,0
25,78,0
25,64,0
25,17,0
26,6,0
26,51,0
26,91,0
26,55,0
27,80,0
27,43,0
27,55,0
28,70,0
28,49,0
28,46,0
29,65,0
29,99,0
29,76,0
30,32,0
30,52,0
30,60,0
30,82,0
30,3,0
30,56,0
31,73,0
31,90,0
31,96,0
32,46,0
32,2,0
32,1,0
32,28,0
32,68,0
32,10,0
32,93,0
32,39,0
32,83,0
32,8,0
33,72,0
33,70,0
33,1,0
33,12,0
33,46,0
34,9,0
34,46,0
34,1,0
35,47,0
35,89,0
35,69,0
36,86,0
36,25,0
36,39,0
36,89,0
36,70,0
36,42,0
37,72,0
37,38,0
37,24,0
37,43,0
37,51,0
37,9,0
37,36,0
37,95,0
38,67,0
38,39,0
38,28,0
39,58,0
39,50,0
39,4,0
39,13,0
40,96,0
40,26,0
40,24,0
40,100,0
40,46,0
40,62,0
40,87,0
40,74,0
40,66,0
40,16,0
40,90,0
40,50,0
40,77,0
40,86,0
40,97,0
41,47,0
41,20,0
41,34,0
42,53,0
42,98,0
42,76,0
42,25,0
42,97,0
42,88,0
43,34,0
43,98,0
43,92,0
43,24,0
43,42,0
43,74,0
44,3,0
44,34,0
44,95,0
44,88,0
44,87,0
44,91,0
44,1,0
44,9,0
44,79,0
44,31,0
44,74,0
44,41,0
44,94,0
44,72,0
44,66,0
45,96,0
45,66,0
45,94,0
45,38,0
45,31,0
45,92,0
45,24,0
46,40,0
46,47,0
46,64,0
46,92,0
46,30,0
46,84,0
46,24,0
46,41,0
46,76,0
46,46,0
46,81,0
46,10,0
47,20,0
47,72,0
47,52,0
48,43,0
48,19,0
48,75,0
48,98,0
48,92,0
48,29,0
49,93,0
49,81,0
49,65,0
50,7,0
50,56,0
50,20,0
51,71,0
51,45,0
51,18,0
51,13,0
51,88,0
51,6,0
52,59,0
52,29,0
52,44,0
52,77,0
52,5,0
52,10,0
52,26,0
52,24,0
53,82,0
53,46,0
53,60,0
54,98,0
54,39,0
54,37,0
54,11,0
54,34,0
54,66,0
54,19,0
54,20,0
54,36,0
54,97,0
55,3,0
55,24,0
55,44,0
55,79,0
55,42,0
55,65,0
55,67,0
56,42,0
56,57,0
56,27,0
57,29,0
57,78,0
57,63,0
57,35,0
57,22,0
57,82,0
57,52,0
57,1,0
58,46,0
58,6,0
58,18,0
59,51,0
59,21,0
59,98,0
59,48,0
59,76,0
59,79,0
59,15,0
59,35,0
59,87,0
59,31,0
59,99,0
59,41,0
60,74,0
60,47,0
60,77,0
60,41,0
60,53,0
61,16,0
61,60,0
61,21,0
61,2,0
61,61,0
61,8,0
61,32,0
61,56,0
61,90,0
62,72,0
62,65,0
62,77,0
62,27,0
62,61,0
62,25,0
62,50,0
62,29,0
63,7,0
63,13,0
63,45,0
64,24,0
64,61,0
64,62,0
64,26,0
64,60,0
64,37,0
64,92,0
64,70,0
65,12,0
65,16,0
65,69,0
65,39,0
65,36,0
65,70,0
65,64,0
66,3,0
66,46,0
66,20,0
67,70,0
67,37,0
67,38,0
67,7,0
67,73,0
68,22,0
68,44,0
68,42,0
68,67,0
68,59,0
69,42,0
69,60,0
69,26,0
69,15,0
69,28,0
69,3,0
69,23,0
69,21,0
69,4,0
69,30,0
70,32,0
70,81,0
70,45,0
71,47,0
71,82,0
71,30,0
71,26,0
71,88,0
71,33,0
71,100,0
71,1,0
72,13,0
72,54,0
72,36,0
72,88,0
73,94,0
73,47,0
73,86,0
73,8,0
74,54,0
74,5,0
74,80,0
74,93,0
74,30,0
74,26,0
74,64,0
74,9,0
74,69,0
74,49,0
75,41,0
75,10,0
75,3,0
75,17,0
75,91,0
75,90,0
75,96,0
75,9,0
75,94,0
76,42,0
76,34,0
76,69,0
76,14,0
76,73,0
76,99,0
77,23,0
77,22,0
77,3,0
77,51,0
77,9,0
77,46,0
78,41,0
78,4,0
78,11,0
78,77,0
78,57,0
78,62,0
79,66,0
79,92,0
79,57,0
79,73,0
79,41,0
79,3,0
79,39,0
80,90,0
80,5,0
80,2,0
80,52,0
80,24,0
80,18,0
81,6,0
81,10,0
81,58,0
81,64,0
81,43,0
81,79,0
81,60,0
81,88,0
81,37,0
81,70,0
81,83,0
81,76,0
81,5,0
81,77,0
82,26,0
82,73,0
82,29,0
83,3,0
83,90,0
83,40,0
83,83,0
83,36,0
83,63,0
84,93,0
84,97,0
84,81,0
84,3,0
84,54,0
85,94,0
85,46,0
85,64,0
86,42,0
86,17,0
86,61,0
86,27,0
86,74,0
86,72,0
86,32,0
86,10,0
86,94,0
86,13,0
86,21,0
86,76,0
87,21,0
87,18,0
87,11,0
87,66,0
87,91,0
87,77,0
87,69,0
87,58,0
87,2,0
87,15,0
87,56,0
87,20,0
88,88,0
88,33,0
88,35,0
89,51,0
89,78,0
89,53,0
89,11,0
89,28,0
89,63,0
90,34,0
90,4,0
90,70,0
91,78,0
91,61,0
91,67,0
91,42,0
91,29,0
91,16,0
92,6,0
92,18,0
92,81,0
93,38,0
93,31,0
93,73,0
93,32,0
94,92,0
94,15,0
94,73,0
94,13,0
94,88,0
94,95,0
94,49,0
94,46,0
94,36,0
94,41,0
94,76,0
95,70,0
95,4,0
95,53,0
96,74,0
96,86,0
96,41,0
96,17,0
97,64,0
97,79,0
97,43,0
97,65,0
98,51,0
98,8,0
98,58,0
98,21,0
98,46,0
98,77,0
98,25,0
98,82,0
98,86,0
99,3,0
99,19,0
99,7,0
99,54,0
99,99,0
99,71,0
99,24,0
99,2,0
99,42,0
99,28,0
99,66,0
100,21,0
100,72,0
100,15,0
100,27,0
100,33,0
100,74,0
100,60,0
101,58,0
101,41,0
101,20,0
101,29,0
101,19,0
101,49,0
101,11,0
101,5,0
102,20,0
102,15,0
102,16,0
103,23,0
103,1,0
103,98,0
103,41,0
103,97,0
103,6,0
103,87,0
103,17,0
103,48,0
103,9,0
104,73,0
104,97,0
104,81,0
105,51,0
105,23,0
105,78,0
106,86,0
106,53,0
106,38,0
106,83,0
107,98,0
107,63,0
107,3,0
108,28,0
108,38,0
108,44,0
109,10,0
109,46,0
109,43,0
110,33,0
110,20,0
110,15,0
111,14,0
111,75,0
111,46,0
111,98,0
112,73,0
112,39,0
112,15,0
113,94,0
113,2,0
113,33,0
113,42,0
113,34,0
113,74,0
113,7,0
113,56,0
113,39,0
113,93,0
114,68,0
114,96,0
114,19,0
114,78,0
114,39,0
114,8,0
115,65,0
115,67,0
115,50,0
115,55,0
116,85,0
116,14,0
116,68,0
117,57,0
117,8,0
117,2,0
117,35,0
117,79,0
117,99,0
117,98,0
117,71,0
117,78,0
117,54,0
118,6,0
118,20,0
118,5,0
118,25,0
118,15,0
118,48,0
118,56,0
119,60,0
119,41,0
119,24,0
119,15,0
119,53,0
119,26,0
119,48,0
119,80,0
119,21,0
119,81,0
120,36,0
120,39,0
120,100,0
121,4,0
121,58,0
121,56,0
122,40,0
122,59,0
